text,label_prediksi,sentimen,confidence
Luar biasa bagus 458,1,netral,0.6349362134933472
Makanan di sini enak sekali 800,1,netral,0.6800809502601624
Pelayanannya sangat lambat 696,0,negatif,0.40759649872779846
Harganya standar saja 455,1,netral,0.7302756905555725
Biasa saja tidak ada yang spesial 621,2,positif,0.4633581340312958
Luar biasa bagus 512,2,positif,0.6167913675308228
Makanan di sini enak sekali 534,0,negatif,0.5572495460510254
Luar biasa bagus 589,1,netral,0.5245629549026489
Harganya standar saja 600,2,positif,0.4155276119709015
Makanan di sini enak sekali 656,0,negatif,0.38516077399253845
Biasa saja tidak ada yang spesial 973,0,negatif,0.682355523109436
Pelayanannya sangat lambat 628,2,positif,0.7249696254730225
Pelayanannya sangat lambat 499,1,netral,0.6649107336997986
Sangat mengecewakan 378,1,netral,0.6956568956375122
Makanan di sini enak sekali 899,0,negatif,0.44085487723350525
Sangat mengecewakan 870,1,netral,0.5998512506484985
Biasa saja tidak ada yang spesial 746,2,positif,0.5789199471473694
Pelayanannya sangat lambat 807,1,netral,0.4487721920013428
Biasa saja tidak ada yang spesial 927,2,positif,0.5734254121780396
Harganya standar saja 799,1,netral,0.7060529589653015
Luar biasa bagus 660,2,positif,0.6205386519432068
Pelayanannya sangat lambat 638,2,positif,0.49884456396102905
Luar biasa bagus 857,0,negatif,0.44359779357910156
Biasa saja tidak ada yang spesial 590,2,positif,0.6225456595420837
Sangat mengecewakan 584,2,positif,0.48887333273887634
Sangat mengecewakan 631,1,netral,0.40988215804100037
Harganya standar saja 778,1,netral,0.6444255709648132
Luar biasa bagus 354,2,positif,0.40070322155952454
Sangat mengecewakan 548,1,netral,0.639945387840271
Sangat mengecewakan 523,0,negatif,0.6157600283622742
Luar biasa bagus 433,0,negatif,0.3771957755088806
Pelayanannya sangat lambat 833,0,negatif,0.7212011218070984
Pelayanannya sangat lambat 436,1,netral,0.7049095630645752
Biasa saja tidak ada yang spesial 409,2,positif,0.49636128544807434
Makanan di sini enak sekali 481,1,netral,0.6721146702766418
Biasa saja tidak ada yang spesial 732,0,negatif,0.5860341191291809
Pelayanannya sangat lambat 859,1,netral,0.6683909296989441
